movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1468443
霸王别姬,2,9.6,1087882
这个杀手不太冷,3,9.4,1335603
阿甘正传,4,9.4,1154031
美丽人生,5,9.5,676762
泰坦尼克号,6,9.4,1095083
千与千寻,7,9.3,1149448
辛德勒的名单,8,9.5,602314
盗梦空间,9,9.3,1151839
忠犬八公的故事,10,9.3,765076
机器人总动员,11,9.3,762871
三傻大闹宝莱坞,12,9.2,1037535
海上钢琴师,13,9.2,848588
放牛班的春天,14,9.3,720964
楚门的世界,15,9.2,800256
大话西游之大圣娶亲,16,9.2,804525
星际穿越,17,9.2,825937
龙猫,18,9.2,714185
教父,19,9.3,520529
熔炉,20,9.3,470702
无间道,21,9.2,661933
疯狂动物城,22,9.2,915500
当幸福来敲门,23,9.0,842060
怦然心动,24,9.0,933772
触不可及,25,9.2,554088
