movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1468443
霸王别姬,2,9.6,1087882
这个杀手不太冷,3,9.4,1335603
阿甘正传,4,9.4,1154031
美丽人生,5,9.5,676762
泰坦尼克号,6,9.4,1095083
千与千寻,7,9.3,1149448
辛德勒的名单,8,9.5,602314
盗梦空间,9,9.3,1151839
忠犬八公的故事,10,9.3,765076
机器人总动员,11,9.3,762871
三傻大闹宝莱坞,12,9.2,1037535
海上钢琴师,13,9.2,848588
放牛班的春天,14,9.3,720964
楚门的世界,15,9.2,800256
大话西游之大圣娶亲,16,9.2,804525
星际穿越,17,9.2,825937
龙猫,18,9.2,714509
教父,19,9.3,520529
熔炉,20,9.3,470702
无间道,21,9.2,661933
疯狂动物城,22,9.2,915500
当幸福来敲门,23,9.0,842060
怦然心动,24,9.0,933772
触不可及,25,9.2,554088
蝙蝠侠：黑暗骑士,26,9.1,540263
乱世佳人,27,9.3,383793
活着,28,9.2,429551
控方证人,29,9.6,190058
少年派的奇幻漂流,30,9.0,832313
指环王3：王者无敌,31,9.2,420355
天堂电影院,32,9.2,409416
鬼子来了,33,9.2,349914
天空之城,34,9.1,492995
摔跤吧！爸爸,35,9.1,812760
十二怒汉,36,9.4,249107
飞屋环游记,37,9.0,748917
大话西游之月光宝盒,38,9.0,650541
哈尔的移动城堡,39,9.0,550923
搏击俱乐部,40,9.0,532081
罗马假日,41,9.0,559613
闻香识女人,42,9.0,480103
末代皇帝,43,9.2,336613
辩护人,44,9.2,331091
寻梦环游记,45,9.0,776345
窃听风暴,46,9.1,332022
素媛,47,9.2,307992
两杆大烟枪,48,9.1,363077
死亡诗社,49,9.0,404612
飞越疯人院,50,9.1,366212
指环王2：双塔奇兵,51,9.0,394590
教父2,52,9.2,282854
指环王1：魔戒再现,53,9.0,442833
V字仇杀队,54,8.9,618173
狮子王,55,9.0,421490
美丽心灵,56,9.0,430810
饮食男女,57,9.1,303986
海豚湾,58,9.3,241406
情书,59,8.9,532022
钢琴家,60,9.1,284834
本杰明·巴顿奇事,61,8.8,562029
看不见的客人,62,8.8,611528
黑客帝国,63,8.9,421043
哈利·波特与魔法石,64,8.9,447267
美国往事,65,9.1,242235
大闹天宫,66,9.3,178375
西西里的美丽传说,67,8.8,535063
小鞋子,68,9.2,210476
拯救大兵瑞恩,69,9.0,359339
让子弹飞,70,8.8,912177
致命魔术,71,8.8,485988
七宗罪,72,8.8,580580
音乐之声,73,9.0,328712
被嫌弃的松子的一生,74,8.9,433292
低俗小说,75,8.8,481220
猫鼠游戏,76,8.9,384950
沉默的羔羊,77,8.8,485250
天使爱美丽,78,8.7,643930
蝴蝶效应,79,8.8,534354
勇敢的心,80,8.9,381101
春光乍泄,81,8.9,357174
剪刀手爱德华,82,8.7,660485
心灵捕手,83,8.8,392144
穿条纹睡衣的男孩,84,9.0,244752
禁闭岛,85,8.7,522236
布达佩斯大饭店,86,8.8,485202
阿凡达,87,8.7,764798
入殓师,88,8.8,395975
幽灵公主,89,8.9,328804
致命ID,90,8.7,444672
加勒比海盗,91,8.7,503667
阳光灿烂的日子,92,8.8,371657
摩登时代,93,9.2,142680
断背山,94,8.7,438215
第六感,95,8.8,319007
何以为家,96,9.0,275024
重庆森林,97,8.7,459598
狩猎,98,9.1,191812
玛丽和马克思,99,8.9,285167
喜剧之王,100,8.7,495078
告白,101,8.7,458046
消失的爱人,102,8.7,511600
大鱼,103,8.8,339609
一一,104,9.0,206152
阳光姐妹淘,105,8.8,368356
小森林 夏秋篇,106,9.0,217451
爱在黎明破晓前,107,8.8,317546
射雕英雄传之东成西就,108,8.7,375609
甜蜜蜜,109,8.8,301106
请以你的名字呼唤我,110,8.8,313139
侧耳倾听,111,8.8,247007
驯龙高手,112,8.7,424909
红辣椒,113,8.9,203436
倩女幽魂,114,8.7,387099
超脱,115,8.8,249423
恐怖直播,116,8.7,338783
风之谷,117,8.8,240955
爱在日落黄昏时,118,8.8,277052
菊次郎的夏天,119,8.8,273354
小森林 冬春篇,120,9.0,189164
